id_juego,nombre,idioma,ambito,nombre_empresa,precio,registro,url,descripcion,videos,ficha_pdf 
1,Bridge IT,Español,Comercial,Juegos Empresa,Contactar,SI,http://www.juegosempresa.com/serious-games/bridge-it/,Bridge IT es una poderosa herramienta diseñada para tratar los problemas habituales del trabajo en equipo mediante la aportación de soluciones y el desarrollo de softskills. Incorpora una versión basada en la metodología PRINCE2.,NA,
2,Control IT,Español,Comercial,Juegos Empresa,Contactar,SI,http://www.juegosempresa.com/serious-games/control-it/,Control IT está diseñada en base a las mejores prácticas de Service Management e introduce de forma ágil y directa los beneficios reales del It Service Management.,NA,
3,Ease IT,Español,Comercial,Juegos Empresa,Contactar,SI,http://www.juegosempresa.com/serious-games/ease-it/,"La simulación de negocio Ease IT aplica el pensamiento lean de una forma reveladora, directa y divertida para transmitir los beneficios de una forma de trabajar orientada a resultados y procesos.",NA,
4,Agile IT,Español,Comercial,Juegos Empresa,Contactar,SI,http://www.juegosempresa.com/serious-games/agile-it/,"Agile IT ha sido diseñado para facilitar la inmersión de cualquier empresa en las metodologías ágiles de gestión de proyectos. Con la simulación Agile IT los participantes no sólo aprenden, sino que ejecutan su primer proyecto con Scrum.",NA,
5,A Hear Effort,Español,Comercial,Juegos Empresa,400,SI,http://www.juegosempresa.com/serious-games/a-heart-effort/,Sencillo juego de preguntas diseñado para favorecer la comunicación y la obtención creativa de ideas entre los participantes acerca de diferentes temas relacionados con su organización.,NA,
6,El Expendedor,Español,Gratuito,NA,NA,NO,https://proyectosagiles.org/2009/09/13/expendedor-juego-simulacion-scrum/,"""El expendedor"" es un juego de 75 minutos para equipos que se inician en Scrum. Permite entender además diversos conceptos que facilitan el desarrollo ágil.",NA,
7,Business Game,Español,Gratuito,NA,NA,SI,http://simuladores-empresariales.com/uva/,Business Game es un simulador basado en la gestión de una empresa en todos sus ámbitos dentro de un mercado competitivo.,NA,
8,El Dilema del Prisionero,Español,Gratuito,NA,NA,NO,http://www.eumed.net/cursecon/juegos/presos.html,"El Dilema del Prisionero es un modelo de conflictos estudiado por la Teoría de Juegos dentro de la categoría del ""Equilibrio de Nash"".",NA,
9,The 5S Challenge Game,Inglés,Comercial,LeanGames,223,SI,https://www.leangames.co.uk/product/5s-game/,The 5S Game es una simulación práctica enfocada al entrenamiento empresarial para que los participantes entiendan y apliquen los principios de las 5S en su entorno de trabajoo.,NA,
10,SMED Lean Simulation,Inglés,Comercial,LeanGames,946.41,SI,https://www.leangames.co.uk/product/smed-lean-simulation/,The SMED Lean Simulation es un juego basado en una máquina que simula procesos de fabricación en industrias con el objetivo de demostrar los principios y la metodología SMED.,NA,
11,Plug Game Simulation,Inglés,Comercial,LeanGames,346.01,SI,https://www.leangames.co.uk/product/plug-game-simulation/,"The Plug Game es una simulación de fabricación basada en el ensamblaje de clavijas. Demuestra la utilidad en la mejora de procesos de conceptos como: push/pull, One piece flow, Kanban etc.",NA,
12,Six Sigma Game,Inglés,Comercial,LeanGames,346.01,SI,https://www.leangames.co.uk/product/six-sigma-game/,"The Six Game es una simulación de entrenamiento práctivo ideal para demosrtrar la aplicación de técnicas de resolución de problemas como diagramas de espina de pez, brainstorming y six sigma/DOE.",NA,
13,Torch Game,Inglés,Comercial,LeanGames,346.01,SI,https://www.leangames.co.uk/product/torch-game-simulation-/,"The Torch Game es una simulación de fabricación basada en el montaje de antorchas con componentes más grandes que requieren menos destreza que ""The Plug Game"". Introduce los conceptos de Análisis de Pareto, asignación de filtros de calidad etc.",NA,
14,Lean Office Game,Inglés,Comercial,LeanGames,336.01,SI,https://www.leangames.co.uk/product/lean-office-game/,The Lean Office Game es un juego de entrenamiento empresarial. El objetivo del juego es destacar ineficiencias típicas que se encuentran en los entornos de trabajo de oficina y demostrar cómo se pueden implementar cambios simples para mejorar la eficie...,NA,
15,The 6S Challenge Game,Inglés,Comercial,LeanGames,218.41,SI,https://www.leangames.co.uk/product/6s-challenge-game/,"The 6S Challenge Game es una versión extendida de The 5S Game que incorpora el concepto de la sexta ""S"" de seguridad revisando cada acción en cada área para garantizar que no se pasen por alto riesgos portenciales.",NA,
16,El Juego de las 5S,Español,Gratuito,NA,NA,NO,https://logisticamuialpcsupv.wordpress.com/2016/03/22/el-juego-de-las-5s-del-caos-al-orden/,Breve introducción a la metodología de las 5S mediante la explicación de un juego que consiste en localizar en la pantalla los números del 1 al 49. En el vídeo se demostrará como la tarea puede ser mucho más sencilla aplicando las 5S.,NA,
17,Dinámica 5S,Español,Gratuito,NA,NA,NO,https://prezi.com/wz6bzoupxa0f/dinamica-5s-s/,Artículo en formato Prezzi que desarrolla una dinámica de trabajo en equipo con el objetvio de que los participantes reconozcan la falta de organización y como esta afecta a la eficiencia y a la agilidad de producción.,NA,
18,El Juego de la Cerveza,Español,Gratuito,NA,NA,NO,https://es.slideshare.net/SAMSAMARIO2011/taller-sobre-el-juego-de-la-cerveza2,Samuel Prieto Mejía propone una versión del Juego de la Cervezar para los estudiantes con el objetivo de demostrar de forma práctica las oscilaciones que provocan las demoras en la cadena de distribución.,NA,
19,The Fishbanks Game,Inglés,Gratuito,NA,NA,SI,https://mitsloan.mit.edu/LearningEdge/simulations/fishbanks/Pages/fish-banks.aspx,Fishbanks es una simulación multijugador en dode los participantes desempeñan el papel de pescadores y buscan maximizar sus beneficios mientras compiten con otros jugadores.,NA,
20,The 5S Alphabet Game,Inglés,Gratuito,NA,NA,NO,http://www.leansimulations.org/2014/03/the-5s-alphabet-game-how-fast-can-you.html,The 5S Alphabet Game es un sencillo juego online que introduce los conceptos de las 5S mediante un juego con el abecedario.,NA,
21,Pen and Paper Game,Inglés,Gratuito,NA,NA,NO,http://www.leansimulations.org/2014/04/lean-project-management-pen-and-paper.html,El juego del Bolígrafo y el Papel es una sencilla actividad que demuestra la ineficiencia de dividir tareas y realizar múltiples tareas a la hora de administrar proyectos.,NA,
22,La Paradoja del diamante y el agua,Español,Gratuito,NA,NA,NO,https://www.juandemariana.org/ijm-actualidad/analisis-diario/sobre-la-paradoja-del-valor,Artículo que explica la Paradoja del Agua y los Diamantes de Adam Smith sobre la utilidad de los activos y su relación con el precio en los mercados.,NA,
23,La mano invisible,Español,Gratuito,NA,NA,NO,https://blog.selfbank.es/la-mano-invisible-de-adam-smith/,"Artículo redactado por el Equipo de Self Bank que desarrolla la teoría de La Mano Invisible de Adam Smith, de cómo la ley de la oferta y la demanda benefician al conjunto de la sociedad.",NA,
24,Wentels,Español,Gratuito,NA,NA,SI,http://www.wentels.com/es/el-juego-empresarial,WENTELS es una herramienta e-Learning que tiene como objetivo que el usuario ponga en práctica fundamentos de la gestión de una empresa de nueva creación. Tiene dos versiones: comercio y consultoría.,NA,
25,SimulTrain,Inglés,Comercial,SimulTrain,Contactar,SI,https://www.simultrain.swiss/,SimulTrain® es un simulador de gestión de proyectos en línea que permite a los estudiantes adquirir competencias básicas al tiempo que mejoran el trabajo en equipo y las habilidades de liderazgo en un entorno realista y de ritmo rápido.,NA,
26,Los aviones de papel,Español,Gratuito,NA,NA,NO,https://altacuncta.wordpress.com/2012/09/26/simulacion-lean-manufacturing-los-aviones-de-papel/,Artículo en el Blog de Altacuncta en el que se explica un ejercico de simulación lean con aviones de papel.,NA,
